Year,Reg,Group,Sex,DrAa0,DrAa1,DrAa5,DrAa10,DrAa15,DrAa20,DrAa25,DrAa30,DrAa35,DrAa40,DrAa45,DrAa50,DrAa55,DrAa60,DrAa65,DrAa70,DrAa75,DrAa80,DrAa85
2015,3100,U,B,5118,293,207,270,604,940,1725,3079,4511,5530,6965,9593,13290,18971,24868,36169,54511,93007,164731
2015,3100,U,M,5519,294,244,289,785,1310,2544,4636,6787,8302,10524,15044,21524,31607,39992,57309,78433,117374,163985
2015,3100,U,F,4694,292,169,251,412,538,878,1519,2311,2913,3784,5175,7409,11007,16233,25922,45009,85128,164824
2015,3100,R,B,6766,644,253,180,944,2118,3081,4376,6224,7463,9205,12343,17156,23355,27588,37405,54683,94188,166192
2015,3100,R,M,6874,788,272,222,1331,2900,4248,6181,8497,10565,13210,18370,25584,36918,42422,55931,76843,119150,158457
2015,3100,R,F,6651,492,233,135,493,962,1551,2192,3636,4114,5180,6412,9570,12736,17280,27920,45398,86227,167905
2015,1186,T,B,5643,355,172,156,634,1285,2903,4309,5197,7367,9372,13114,18524,23853,27724,41120,60355,101311,197283
2015,1186,T,M,6495,376,168,121,763,2139,4419,6349,8310,11200,14263,21022,31021,41254,46548,67133,91115,142412,224947
2015,1186,T,F,4744,332,176,192,501,437,1303,2194,2105,3707,5002,6394,9177,12589,16987,29365,49638,90124,191163
2015,1186,U,B,5321,168,141,196,667,963,2098,3876,4536,6431,8106,11483,17134,22971,27218,40254,59669,100034,188487
2015,1186,U,M,6598,163,205,153,746,1477,3198,5711,7469,10127,13012,18783,29932,40499,46401,66694,91968,142368,214577
2015,1186,U,F,3975,173,72,241,586,483,1000,2027,1719,2970,3836,5626,8173,12181,16591,28256,48245,88298,182695
2015,1186,R,B,6892,978,309,0,456,3622,7746,6745,8341,11358,13808,18051,22325,26550,29565,44107,62441,104717,227045
2015,1186,R,M,6098,1087,0,0,848,5942,10558,9630,11948,15542,18390,27027,33621,43306,47041,68665,88402,142539,260465
2015,1186,R,F,7732,863,615,0,0,0,3566,3228,4132,7015,9326,8986,12235,13942,18498,33168,53803,94927,219736
2015,1187,T,B,4601,466,152,83,931,1631,2803,3704,5076,6629,8409,13117,17364,23686,28477,43898,64718,104451,189798
2015,1187,T,M,6250,413,112,164,1235,2501,4444,5595,7597,10374,12497,20364,27954,39848,47138,73591,97711,146156,202577
2015,1187,T,F,2894,521,194,0,624,655,935,1686,2510,3018,4612,6815,9124,12742,17885,30981,52346,93046,186973
2015,1187,U,B,4664,350,121,107,669,1239,2225,3025,4474,6057,8153,12577,16101,22200,27705,43718,63087,101445,191563
2015,1187,U,M,6752,229,48,211,816,1872,3636,4716,6823,9378,12788,19619,26900,38420,46029,73388,96599,149042,201431
2015,1187,U,F,2529,476,198,0,522,571,717,1338,2188,2974,4010,6811,8193,11765,17752,31051,50768,88672,189165
2015,1187,R,B,4430,772,261,0,2140,4295,5566,6766,7535,8851,9191,14577,20682,27974,31087,44567,69216,110855,185626
2015,1187,R,M,4891,895,344,0,3089,5973,7725,8940,10435,13903,11685,22160,30404,43521,50476,74352,100627,140235,205575
2015,1187,R,F,3934,639,176,0,1113,1404,2218,3608,3988,3204,6591,6827,11825,15797,18366,30730,56785,102534,181872
2015,1111,T,B,5979,319,72,210,535,1651,1889,3329,4953,6217,8202,11197,16230,20182,26708,39282,56998,100805,179079
2015,1111,T,M,5999,391,113,157,809,2474,2797,4880,7405,9267,12744,17070,27066,33800,44157,67003,88917,130573,192675
